task,condition,bin_lo,n,mean_conf,frac_pos
T1_atn,cot,0.2,18,0.2777777777777778,0.2222222222222222
T1_atn,cot,0.4,66,0.5946969696969698,0.3787878787878788
T1_atn,cot,0.6000000000000001,70,0.7050000000000002,0.38571428571428573
T1_atn,cot,0.8,223,0.8625560538116588,0.5426008968609866
T1_atn,direct,0.2,17,0.3,0.17647058823529413
T1_atn,direct,0.6000000000000001,173,0.7384393063583816,0.3352601156069364
T1_atn,direct,0.8,184,0.8548913043478258,0.625
T1_atn,filler,0.2,20,0.29499999999999993,0.2
T1_atn,filler,0.6000000000000001,195,0.7333333333333333,0.31794871794871793
T1_atn,filler,0.8,161,0.8580745341614905,0.6894409937888198
T3_l2c,cot,0.2,85,0.27058823529411763,0.29411764705882354
T3_l2c,cot,0.4,52,0.5817307692307693,0.5
T3_l2c,cot,0.6000000000000001,52,0.7163461538461541,0.5384615384615384
T3_l2c,cot,0.8,34,0.8529411764705882,0.7647058823529411
T3_l2c,direct,0.6000000000000001,146,0.75,0.3972602739726027
T3_l2c,direct,0.8,77,0.8499999999999999,0.6103896103896104
T3_l2c,filler,0.6000000000000001,165,0.7306060606060607,0.43636363636363634
T3_l2c,filler,0.8,55,0.8527272727272728,0.6
