task,family,arm,perturb,level,n,auc,bacc,mae
T1_atn,llm,cot,mcar,0.0,150,0.5947340330901975,0.6397438178260095,
T1_atn,llm,cot,mcar,0.2,150,0.5844155844155844,0.5802348336594911,
T1_atn,llm,cot,mcar,0.5,150,0.608877423945917,0.6234655755203701,
T1_atn,llm,cot,noise,1.0,150,0.5849492972780643,0.6097669453833837,
T1_atn,llm,direct,mcar,0.0,150,0.6537093043942359,0.6714997331435688,
T1_atn,llm,direct,mcar,0.2,150,0.6288027041451699,0.637253157801103,
T1_atn,llm,direct,mcar,0.5,150,0.5985589752713041,0.652375022238036,
T1_atn,llm,direct,noise,1.0,150,0.5900195694716243,0.662426614481409,
T1_atn,tabular,trivial,mcar,0.0,0,0.4318785310734463,0.5,
T1_atn,tabular,logreg,mcar,0.0,0,0.7424293785310736,0.6397598870056498,
T1_atn,tabular,xgboost,mcar,0.0,0,0.7936440677966101,0.6981073446327684,
T1_atn,tabular,tabpfn,mcar,0.0,0,0.6846892655367233,0.6316101694915255,
T1_atn,tabular,trivial,mcar,0.1,0,0.4318785310734463,0.5,
T1_atn,tabular,logreg,mcar,0.1,0,0.7214971751412429,0.6343361581920903,
T1_atn,tabular,xgboost,mcar,0.1,0,0.7673163841807911,0.6746327683615819,
T1_atn,tabular,tabpfn,mcar,0.1,0,0.6766949152542373,0.620409604519774,
T1_atn,tabular,trivial,mcar,0.2,0,0.4318785310734463,0.5,
T1_atn,tabular,logreg,mcar,0.2,0,0.7161299435028249,0.6298870056497174,
T1_atn,tabular,xgboost,mcar,0.2,0,0.70545197740113,0.6346327683615819,
T1_atn,tabular,tabpfn,mcar,0.2,0,0.6857344632768361,0.6040112994350282,
T1_atn,tabular,trivial,mcar,0.3,0,0.4318785310734463,0.5,
T1_atn,tabular,logreg,mcar,0.3,0,0.7242655367231638,0.6379378531073446,
T1_atn,tabular,xgboost,mcar,0.3,0,0.6395197740112993,0.6033333333333333,
T1_atn,tabular,tabpfn,mcar,0.3,0,0.6509322033898305,0.6197598870056498,
T1_atn,tabular,trivial,mcar,0.5,0,0.4318785310734463,0.5,
T1_atn,tabular,logreg,mcar,0.5,0,0.6675706214689265,0.599590395480226,
T1_atn,tabular,xgboost,mcar,0.5,0,0.6301129943502825,0.5790819209039548,
T1_atn,tabular,tabpfn,mcar,0.5,0,0.6194632768361582,0.602683615819209,
T1_atn,tabular,trivial,noise,0.25,0,0.4318785310734463,0.5,
T1_atn,tabular,logreg,noise,0.25,0,0.7296892655367233,0.6472598870056496,
T1_atn,tabular,xgboost,noise,0.25,0,0.7364406779661017,0.6831073446327685,
T1_atn,tabular,tabpfn,noise,0.25,0,0.6942655367231639,0.6518079096045197,
T1_atn,tabular,trivial,noise,0.5,0,0.4318785310734463,0.5,
T1_atn,tabular,logreg,noise,0.5,0,0.7345197740112994,0.6482344632768362,
T1_atn,tabular,xgboost,noise,0.5,0,0.7720338983050847,0.7156073446327684,
T1_atn,tabular,tabpfn,noise,0.5,0,0.7161864406779662,0.6483333333333333,
T1_atn,tabular,trivial,noise,1.0,0,0.4318785310734463,0.5,
T1_atn,tabular,logreg,noise,1.0,0,0.6941242937853108,0.6285593220338983,
T1_atn,tabular,xgboost,noise,1.0,0,0.7362994350282486,0.6796327683615819,
T1_atn,tabular,tabpfn,noise,1.0,0,0.678276836158192,0.6386581920903955,
T3_l2c,llm,cot,mcar,0.0,150,0.711894586894587,0.6923076923076923,
T3_l2c,llm,cot,mcar,0.2,150,0.5997150997150997,0.6223290598290598,
T3_l2c,llm,cot,mcar,0.5,150,0.5542200854700855,0.6458333333333334,
T3_l2c,llm,cot,noise,1.0,150,0.6452991452991453,0.642094017094017,
T3_l2c,llm,direct,mcar,0.0,150,0.6148504273504274,0.6896367521367521,
T3_l2c,llm,direct,mcar,0.2,150,0.5197649572649572,0.6704059829059829,
T3_l2c,llm,direct,mcar,0.5,150,0.5997150997150997,0.6436965811965812,
T3_l2c,llm,direct,noise,1.0,150,0.5387286324786326,0.6527777777777777,
T3_l2c,tabular,trivial,mcar,0.0,0,0.3992332526230832,0.5,
T3_l2c,tabular,logreg,mcar,0.0,0,0.8261501210653752,0.7480629539951573,
T3_l2c,tabular,xgboost,mcar,0.0,0,0.8398708635996772,0.7369249394673123,
T3_l2c,tabular,tabpfn,mcar,0.0,0,0.8422114608555287,0.7761501210653753,
T3_l2c,tabular,trivial,mcar,0.1,0,0.3992332526230832,0.5,
