task,perturb,arm,n_levels,family,clean,worst,max_level,slope,rel_change
T1_atn,mcar,cot,3,llm,0.5947340330901975,0.608877423945917,0.5,0.03249094092641305,0.023781034998504272
T1_atn,mcar,direct,3,llm,0.6537093043942359,0.5985589752713041,0.5,-0.10955158756168121,-0.08436521975779013
T1_atn,mcar,logreg,5,tabular,0.7424293785310736,0.6675706214689265,0.5,-0.13091693388303585,-0.10082946503310271
T1_atn,mcar,tabpfn,5,tabular,0.6846892655367233,0.6194632768361582,0.5,-0.13530691708657805,-0.09526363561349958
T1_atn,mcar,xgboost,5,tabular,0.7936440677966101,0.6301129943502825,0.5,-0.3594289204458696,-0.20605089873642995
T1_atn,noise,cot,2,llm,0.5947340330901975,0.5849492972780643,1.0,-0.00978473581213322,-0.01645228836374523
T1_atn,noise,direct,2,llm,0.6537093043942359,0.5900195694716243,1.0,-0.06368973492261173,-0.09742822152673836
T1_atn,noise,logreg,4,tabular,0.7424293785310736,0.6941242937853108,1.0,-0.04622114608555298,-0.0650635415873983
T1_atn,noise,tabpfn,4,tabular,0.6846892655367233,0.678276836158192,1.0,-0.006279257465698741,-0.009365459196303594
T1_atn,noise,xgboost,4,tabular,0.7936440677966101,0.7362994350282486,1.0,-0.04184019370460044,-0.0722548496173696
T2_brainage,mcar,cot,3,llm,11.28,10.826666666666666,0.5,-0.9894736842105175,-0.04018912529550826
T2_brainage,mcar,direct,3,llm,11.593333333333334,10.786666666666669,0.5,-1.4929824561403442,-0.06958021851638857
T2_brainage,mcar,logreg,5,tabular,6.161294796336422,8.358223922805047,0.5,4.591863444336549,0.3565693898910574
T2_brainage,mcar,tabpfn,5,tabular,5.277968876133024,8.014458045132757,0.5,5.4917894516138075,0.5184739116924575
T2_brainage,mcar,xgboost,5,tabular,5.680101247025717,14.22725368062778,0.5,17.13851212118572,1.5047535355250268
T2_brainage,noise,cot,2,llm,11.28,13.253333333333334,1.0,1.973333333333331,0.17494089834515378
T2_brainage,noise,direct,2,llm,11.593333333333334,13.493333333333334,1.0,1.8999999999999975,0.16388729154686604
T2_brainage,noise,logreg,4,tabular,6.161294796336422,10.720699750500147,1.0,4.634315668137164,0.7400075965971957
T2_brainage,noise,tabpfn,4,tabular,5.277968876133024,8.827573286121474,1.0,3.545442157190279,0.6725322739282835
T2_brainage,noise,xgboost,4,tabular,5.680101247025717,9.52585261672643,1.0,3.846371872980787,0.6770568344559831
T3_l2c,mcar,cot,3,llm,0.711894586894587,0.5542200854700855,0.5,-0.3024254011096114,-0.22148574287143574
T3_l2c,mcar,direct,3,llm,0.6148504273504274,0.5997150997150997,0.5,-0.006841355525565965,-0.024616275702287898
T3_l2c,mcar,logreg,5,tabular,0.8261501210653752,0.789588377723971,0.5,-0.068352856488449,-0.04425556858147704
T3_l2c,mcar,tabpfn,5,tabular,0.8422114608555287,0.8001614205004035,0.5,-0.08210631939445458,-0.04992812649736471
T3_l2c,mcar,xgboost,5,tabular,0.8398708635996772,0.7248587570621469,0.5,-0.252863032524049,-0.13694022679223536
T3_l2c,noise,cot,2,llm,0.711894586894587,0.6452991452991453,1.0,-0.06659544159544165,-0.09354677338669337
T3_l2c,noise,direct,2,llm,0.6148504273504274,0.5387286324786326,1.0,-0.07612179487179481,-0.12380538662033007
T3_l2c,noise,logreg,4,tabular,0.8261501210653752,0.7443099273607748,1.0,-0.08381874783811846,-0.09906213364595534
T3_l2c,noise,tabpfn,4,tabular,0.8422114608555287,0.7769168684422922,1.0,-0.07300818632537762,-0.0775275515093435
T3_l2c,noise,xgboost,4,tabular,0.8398708635996772,0.7338175948345441,1.0,-0.10986740458895437,-0.12627330386315577
