task,arm,family,perturb,level,secs,auc,bacc,acc,mae,rmse,r
T1_atn,trivial,tabular,mcar,0.0,0.0,0.4318785310734463,0.5,0.5305039787798409,,,
T1_atn,logreg,tabular,mcar,0.0,0.0,0.7424293785310736,0.6397598870056498,0.6419098143236074,,,
T1_atn,xgboost,tabular,mcar,0.0,1.4,0.7936440677966101,0.6981073446327684,0.6976127320954907,,,
T1_atn,tabpfn,tabular,mcar,0.0,17.0,0.6846892655367233,0.6316101694915255,0.6339522546419099,,,
T1_atn,trivial,tabular,mcar,0.1,0.0,0.4318785310734463,0.5,0.5305039787798409,,,
T1_atn,logreg,tabular,mcar,0.1,0.0,0.7214971751412429,0.6343361581920903,0.6392572944297082,,,
T1_atn,xgboost,tabular,mcar,0.1,1.0,0.7673163841807911,0.6746327683615819,0.6737400530503979,,,
T1_atn,tabpfn,tabular,mcar,0.1,16.0,0.6766949152542373,0.620409604519774,0.6206896551724138,,,
T1_atn,trivial,tabular,mcar,0.2,0.0,0.4318785310734463,0.5,0.5305039787798409,,,
T1_atn,logreg,tabular,mcar,0.2,0.0,0.7161299435028249,0.6298870056497174,0.636604774535809,,,
T1_atn,xgboost,tabular,mcar,0.2,1.0,0.70545197740113,0.6346327683615819,0.6312997347480106,,,
T1_atn,tabpfn,tabular,mcar,0.2,17.5,0.6857344632768361,0.6040112994350282,0.6074270557029178,,,
T1_atn,trivial,tabular,mcar,0.3,0.0,0.4318785310734463,0.5,0.5305039787798409,,,
T1_atn,logreg,tabular,mcar,0.3,0.0,0.7242655367231638,0.6379378531073446,0.6472148541114059,,,
T1_atn,xgboost,tabular,mcar,0.3,0.9,0.6395197740112993,0.6033333333333333,0.5994694960212201,,,
T1_atn,tabpfn,tabular,mcar,0.3,17.7,0.6509322033898305,0.6197598870056498,0.6206896551724138,,,
T1_atn,trivial,tabular,mcar,0.5,0.0,0.4318785310734463,0.5,0.5305039787798409,,,
T1_atn,logreg,tabular,mcar,0.5,0.0,0.6675706214689265,0.599590395480226,0.6127320954907162,,,
T1_atn,xgboost,tabular,mcar,0.5,1.0,0.6301129943502825,0.5790819209039548,0.5702917771883289,,,
T1_atn,tabpfn,tabular,mcar,0.5,17.4,0.6194632768361582,0.602683615819209,0.5994694960212201,,,
T1_atn,trivial,tabular,noise,0.25,0.0,0.4318785310734463,0.5,0.5305039787798409,,,
T1_atn,logreg,tabular,noise,0.25,0.0,0.7296892655367233,0.6472598870056496,0.649867374005305,,,
T1_atn,xgboost,tabular,noise,0.25,0.9,0.7364406779661017,0.6831073446327685,0.6816976127320955,,,
T1_atn,tabpfn,tabular,noise,0.25,17.2,0.6942655367231639,0.6518079096045197,0.649867374005305,,,
T1_atn,trivial,tabular,noise,0.5,0.0,0.4318785310734463,0.5,0.5305039787798409,,,
T1_atn,logreg,tabular,noise,0.5,0.0,0.7345197740112994,0.6482344632768362,0.649867374005305,,,
T1_atn,xgboost,tabular,noise,0.5,1.0,0.7720338983050847,0.7156073446327684,0.7161803713527851,,,
T1_atn,tabpfn,tabular,noise,0.5,17.5,0.7161864406779662,0.6483333333333333,0.6472148541114059,,,
T1_atn,trivial,tabular,noise,1.0,0.0,0.4318785310734463,0.5,0.5305039787798409,,,
T1_atn,logreg,tabular,noise,1.0,0.0,0.6941242937853108,0.6285593220338983,0.6286472148541115,,,
T1_atn,xgboost,tabular,noise,1.0,0.9,0.7362994350282486,0.6796327683615819,0.6790450928381963,,,
T1_atn,tabpfn,tabular,noise,1.0,16.9,0.678276836158192,0.6386581920903955,0.636604774535809,,,
T3_l2c,trivial,tabular,mcar,0.0,0.0,0.3992332526230832,0.5,0.5291479820627802,,,
T3_l2c,logreg,tabular,mcar,0.0,0.0,0.8261501210653752,0.7480629539951573,0.7533632286995515,,,
T3_l2c,xgboost,tabular,mcar,0.0,0.8,0.8398708635996772,0.7369249394673123,0.7399103139013453,,,
T3_l2c,tabpfn,tabular,mcar,0.0,10.2,0.8422114608555287,0.7761501210653753,0.7847533632286996,,,
T3_l2c,trivial,tabular,mcar,0.1,0.0,0.3992332526230832,0.5,0.5291479820627802,,,
T3_l2c,logreg,tabular,mcar,0.1,0.0,0.8148506860371266,0.7438256658595641,0.7488789237668162,,,
T3_l2c,xgboost,tabular,mcar,0.1,0.8,0.8217917675544795,0.7443502824858756,0.7488789237668162,,,
T3_l2c,tabpfn,tabular,mcar,0.1,9.9,0.8236481033091202,0.7502017756255044,0.757847533632287,,,
T3_l2c,trivial,tabular,mcar,0.2,0.0,0.3992332526230832,0.5,0.5291479820627802,,,
T3_l2c,logreg,tabular,mcar,0.2,0.0,0.7852300242130751,0.7110169491525424,0.7174887892376681,,,
T3_l2c,xgboost,tabular,mcar,0.2,0.8,0.8112994350282486,0.7491121872477805,0.7533632286995515,,,
T3_l2c,tabpfn,tabular,mcar,0.2,10.3,0.8204196933010492,0.7597255851493139,0.7668161434977578,,,
T3_l2c,trivial,tabular,mcar,0.3,0.0,0.3992332526230832,0.5,0.5291479820627802,,,
T3_l2c,logreg,tabular,mcar,0.3,0.0,0.8004842615012107,0.712590799031477,0.7174887892376681,,,
